organization,contact,title,email,vertical,notes
PA NJ CREDIT UNION ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $7,270,175; source LMS score 60/100."
RUFFED GROUSE SOCIETY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $7,223,449; source LMS score 60/100."
NORTHEASTERN PENNSYLVANIA EDUCATIONAL TELEVISION ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittston, PA; annual revenue $7,173,278; source LMS score 60/100."
SARAH HEINZ HOUSE ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $7,021,469; source LMS score 60/100."
YOUNG MENS CHRISTIAN ASSOCIATION OF CENTRE COUNTY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Bellefonte, PA; annual revenue $6,702,285; source LMS score 60/100."
NATIONAL FROZEN AND REFRIGERATED FOODS ASSOCIATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $6,684,307; source LMS score 60/100."
WESTMORELAND COUNTY BLIND ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Greensburg, PA; annual revenue $6,129,168; source LMS score 60/100."
YORK COUNTY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: York, PA; annual revenue $5,772,738; source LMS score 60/100."
STUDENT ASSOCIATION INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: California, PA; annual revenue $5,657,937; source LMS score 60/100."
PHILADELPHIA ORCHESTRA ASSOCIATION TRUST -ENDOWMENT FUND-,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $5,322,887; source LMS score 60/100."
PENNSYLVANIA RECREATION VEHICLE AND CAMPING ASSOCIATION,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Camp Hill, PA; annual revenue $5,187,668; source LMS score 60/100."
ERIE ZOOLOGICAL SOCIETY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Erie, PA; annual revenue $5,146,557; source LMS score 60/100."
NORTH AMERICAN SOCIETY FOR PEDIATRIC GASTROENTEROLOGY & NUTRI,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Ambler, PA; annual revenue $5,066,860; source LMS score 60/100."
STEAMFITTERS LU 420 APPRENTICESHIP & JOURNEYMAN TRAINING FUND,,,,Workforce / training,"revenue >$5M; priority segment; keyword: training; keyword: apprentice. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Philadelphia, PA; annual revenue $5,034,152; source LMS score 60/100."
CHILDREN AID SOCIETY,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: New Oxford, PA; annual revenue $5,025,622; source LMS score 60/100."
AMERICAN ASSOCIATION FOR CANCER RESEARCH FOUNDATION,,,,Association / member organization,"revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $52,939,279; source LMS score 58/100."
THE CHILDRENS HOSPITAL OF PHILADELPHIA PRACTICE ASSOCIATION,,,,Association / member organization,"revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $30,516,729; source LMS score 58/100."
SOCIETY OF CHARTERED PROPERTY & CASUALTY UNDERWRITERS INC,,,,Association / member organization,"revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Malvern, PA; annual revenue $26,172,531; source LMS score 58/100."
YMCA,,,,Youth organization,"assets >$50M; revenue >$5M; adjacent education segment; keyword: ymca. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: York, PA; annual revenue $17,068,241; source LMS score 58/100."
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE,,,,Association / member organization,"assets >$10M; priority segment; keyword: association; keyword: apprentice. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Scranton, PA; annual revenue $2,730,502; source LMS score 58/100."
PITTSBURGH TECHNICAL INSTITUTE INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Oakdale, PA; annual revenue $23,870,856; source LMS score 57/100."
GREAT LAKES BEHAVIORAL RESEARCH INSTITUTE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Cranberry Twp, PA; annual revenue $18,400,471; source LMS score 57/100."
CATHOLIC LEADERSHIP INSTITUTE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Malvern, PA; annual revenue $17,460,567; source LMS score 57/100."
PITTSBURGH INSTITUTE OF AERONAUTICS,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: West Mifflin, PA; annual revenue $16,371,619; source LMS score 57/100."
BARUCH S BLUMBERG INSTITUTE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Doylestown, PA; annual revenue $14,540,516; source LMS score 57/100."
UNIVERSAL INSTITUTE CHARTER SCHOOL,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $13,507,758; source LMS score 57/100."
IMHOTEP INSTITUTE INC,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $13,359,975; source LMS score 57/100."
HARAMBEE INSTITUTE SCIENCE AND TECHNOLOGY CHARTER,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: institute. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $11,081,093; source LMS score 57/100."
